ecosystem,package_name,prev_version,version,y_malicious,delta_num_requires_dist,delta_summary_len,delta_description_len,delta_num_classifiers,delta_has_author,delta_has_license,delta_num_dependencies,delta_num_dev_dependencies,delta_num_scripts,delta_num_keywords,delta_version_len,delta_version_num_dots,delta_version_has_prerelease,prev_label_malicious,static_size_prev_uncompressed_bytes,static_size_curr_uncompressed_bytes,static_size_delta_vs_prev,static_size_ratio_vs_prev,ratio_static_size_uncompressed_bytes,delta_pypi_size_bytes,ratio_pypi_size_bytes,delta_npm_unpacked_size_bytes,ratio_npm_unpacked_size_bytes,delta_npm_file_count,ratio_npm_file_count,delta_entropy_ratio_size,ratio_entropy_ratio_size,delta_entropy_indicator,ratio_entropy_indicator
npm,@dev-blinq/cucumber_client,1.0.737-stage,1.0.737-stage,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1030510.0,1030510.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.737-stage,1.0.738-dev,0,,,-1.0,,,,0.0,-1.0,-2.0,0.0,-2.0,0.0,0.0,,1030510.0,961318.0,-69192.0,0.9328565467584011,0.9328565467584011,,,-69192.0,0.9328565467584011,-2.0,0.9772727272727273,-532.2246300211427,0.9545508850551081,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.738-dev,1.0.738-dev,1,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,961318.0,961318.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.738-dev,1.0.738-stage,0,,,1.0,,,,0.0,1.0,2.0,0.0,2.0,0.0,0.0,,961318.0,1030510.0,69192.0,1.0719761826991692,1.0719761826991692,,,69192.0,1.0719761826991692,2.0,1.0232558139534884,532.2246300211427,1.0476130876378247,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.738-stage,1.0.739-dev,1,,,-1.0,,,,0.0,-1.0,-2.0,0.0,-2.0,0.0,0.0,,1030510.0,961472.0,-69038.0,0.9330059873266635,0.9330059873266635,,,-69038.0,0.9330059873266635,-2.0,0.9772727272727273,-530.4339323467248,0.954703800985423,0.0,1.0
npm,@dm3-org/dm3-lib-shared,1.5.0,1.6.0,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,101301.0,70923.0,-30378.0,0.7001214203216157,0.7001214203216157,,,-30378.0,0.7001214203216157,-24.0,0.7623762376237624,-81.9022759418799,0.918341083798483,0.0,
npm,@dm3-org/dm3-lib-shared,1.6.0,1.6.1,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,70923.0,70923.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,
npm,@dm3-org/dm3-lib-shared,1.6.1,1.7.1,0,,,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,70923.0,70961.0,38.0,1.0005357923381695,1.0005357923381695,,,38.0,1.0005357923381695,0.0,1.0,0.49350649350651565,1.0005357923381697,0.0,
npm,@dm3-org/dm3-lib-shared,1.7.1,1.7.2,1,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,70961.0,74622.0,3661.0,1.0515917193951607,1.0515917193951607,,,3661.0,1.0515917193951607,0.0,1.0,47.54545454545462,1.0515917193951607,0.0,
npm,@dz-lib/dz-cli,0.0.1-security,1.0.0,1,,,-24.0,,,,0.0,0.0,1.0,0.0,-9.0,0.0,-1.0,,438.0,296.0,-142.0,0.6757990867579908,0.6757990867579908,,,-142.0,0.6757990867579908,-1.0,0.5,77.0,1.3515981735159817,0.0,
npm,@ensdomains/ensjs,4.0.1-alpha.0,4.0.2,0,,,0.0,,,,1.0,0.0,0.0,0.0,-8.0,-1.0,-1.0,,2444518.0,3120480.0,675962.0,1.2765215883049337,1.2765215883049337,,,675962.0,1.2765215883049337,3.0,1.0033112582781456,734.7277992699933,1.2723086457692738,0.0,
npm,@ensdomains/ensjs,4.0.2,4.0.2-alpha.5,0,,,0.0,,,,0.0,0.0,0.0,0.0,8.0,1.0,1.0,,3120480.0,3120488.0,8.0,1.0000025637081476,1.0000025637081476,,,8.0,1.0000025637081476,0.0,1.0,0.008800880088074337,1.0000025637081476,0.0,
npm,@ensdomains/ensjs,4.0.2-alpha.5,4.0.2-alpha.7,0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3120488.0,3120488.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,
npm,@ensdomains/ensjs,4.0.2-alpha.7,4.0.3-alpha.0,1,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3120488.0,3212803.0,92315.0,1.0295835138606526,1.0295835138606526,,,92315.0,1.0295835138606526,35.0,1.0385038503850386,-29.487079534224904,0.9914103962916664,0.0,
npm,@gitlab-test/bun-v1,0.0.1-security,0.3.0,1,,,-21.0,,,,1.0,1.0,1.0,0.0,-9.0,0.0,-1.0,,448.0,547.0,99.0,1.2209821428571428,1.2209821428571428,,,99.0,1.2209821428571428,0.0,1.0,49.5,1.2209821428571428,0.0,
